@relation Example

@attribute text string
@attribute isValid {yes,no}

@data
'the visual effect of illumination on objects or scenes as created in pictures; \"he could paint the lightest light and the darkest dark\" light,lightness',yes
'a party for men only (or one considered suitable for men only) stag party,smoker',yes
'a written version of a play or other dramatic composition; used in preparing for a performance script,book,playscript',no
'a framework of metal bars used as a partition or a grate; \"he cooked hamburgers on the grill\" grill,grille,grillwork',no
'a television system that transmits over cables cable,cable television,cable system,cable television service',no
'the flues and stops on a pipe organ organ pipe,pipe,pipework',yes
'someone employed to make written copies of documents and manuscripts copyist,scribe,scrivener',yes
'a cooking utensil that can be used to cook food by steaming it steamer',no
'someone who organizes an exhibit for others to see exhibitor,exhibitioner,shower',yes
'a wooden ball (with flattened sides so that it rolls on a curved course) used in the game of lawn bowling bowl',yes
'a fastener that locks or closes locker',yes
'a flat protective covering (on a door or wall etc) to prevent soiling by dirty fingers finger plate,escutcheon,scutcheon',no
'Australian tree or shrub with red flowers; often used in Christmas decoration Christmas bush,Christmas tree,Ceratopetalum gummiferum',yes
'hard fat around the kidneys and loins in beef and sheep suet',yes
'a movable obstruction in a lock that must be adjusted to a given position (as by a key) before the bolt can be thrown tumbler',no
'drafting instrument used for drawing circles compass',no
'a room or building equipped with one or more toilets toilet,lavatory,lav,can,john,privy,bathroom',yes
'mattress consisting of a pad of cotton batting that is used for sleeping on the floor or on a raised frame futon',no
'a razor powered by an electric motor shaver,electric shaver,electric razor',no
'small motorcycle with a low frame and small wheels and elevated handlebars minibike,motorbike',yes
'a hand tool for lifting loose material; consists of a curved container or scoop and a handle shovel',no
'a horizontal bar (usually of wood or metal) rail',yes
'pole-handled hook used to pull or push boats boat hook',no
'a person who smokes tobacco smoker,tobacco user',yes
'a nonspecific agent that imparts motion; \"happiness is the aim of all men and the motor of all action\" motor',yes
'medium for communication radio,radiocommunication,wireless',yes
'an ornamented evergreen used as a Christmas decoration Christmas tree',no
'container into which liquid is poured to create a given shape when it hardens mold,mould,cast',no
'a character indicating a relation between quantities; \"don\'t forget the minus sign\" sign',yes
'a restaurant where food is cooked on a grill grillroom,grill',no
'a ride in a car; \"he gave me a lift home\" lift',yes
'display produced by a device that takes signals and displays them on a television screen or a computer monitor monitor,monitoring device',no
'cleaning implement consisting of absorbent material fastened to a handle; for cleaning floors swab,swob,mop',no
'mechanical device used to wind another device that is driven by a spring (as a clock) winder,key',no
'slang for a mustache soup-strainer,toothbrush',yes
'a small natural hill knoll,mound,hillock,hummock,hammock',yes
'an opaque window blind that can cover or uncover a window window shade',yes
'a cord on which clothes are hung to dry clothesline',no
'cabinet that holds medicines and toiletries medicine chest,medicine cabinet',no
'someone who cuts or carves stone stonecutter,cutter',yes
'a decorative paper for the walls of rooms wallpaper',no
'the cutting part of a drill; usually pointed and threaded and is replaceable in a brace or bitstock or drill press; \"he looked around for the right size bit\" bit',yes
'a mark left after a small piece has been chopped or broken off of something check,chip',yes
'a main course served on a plate; \"a vegetable plate\"; \"the blue plate special\" plate',yes
'a form of military punishment used by the British in the late 17th century in which a soldier was forced to stand on one foot on a pointed stake picket,piquet',yes
'television equipment consisting of a lens system that focuses an image on a photosensitive mosaic that is scanned by an electron beam television camera,tv camera,camera',no
'hanger consisting of a loop of leather suspended from the ceiling of a bus or train; passengers hold onto it strap',yes
'a plaything consisting of a pile of sand or a box filled with sand for children to play in sandbox,sandpile,sandpit',no
'an edge tool with a flat steel blade with a cutting edge chisel',no
'informal terms for journalists scribe,scribbler,penman',yes
'the cardinal number that is the sum of one and one and one three,3,III,trio,threesome,tierce,leash,troika,triad,trine,trinity,ternary,ternion,triplet,tercet,terzetto,trey,deuce-ace',yes
'a catch for locking a door hook',no
'a support or foundation; \"the base of the lamp\" base,pedestal,stand',yes
'anything that harms or destroys; \"the poison of fascism\" poison',yes
'pitch of the voice; \"he spoke in a low key\" key',yes
'a horizontal rod that serves as a support for gymnasts as they perform exercises bar',yes
'(anatomy) the part of an organ nearest its point of attachment; \"the base of the skull\" base',yes
'a lightweight handheld collapsible canopy umbrella',no
'a recording made on magnetic tape; \"the several recordings were combined on a master tape\" tape,tape recording,taping',no
'a hand tool for cutting pipe pipe cutter',no
'a kitchen utensil that is used for mixing foods mixer',no
'a strong worktable for a carpenter or mechanic workbench,work bench,bench',no
'bedclothes that provide a cover for a mattress mattress cover',no
'a web that resembles a tent or carpet tent',no
'a curtain that keeps water from splashing out of the shower area shower curtain',no
'(geology) a hollow (typically filled by a lake) that results from the melting of a mass of ice trapped in glacial deposits kettle hole,kettle',yes
'a framework that supports climbing plants; \"the arbor provided a shady resting place in the park\" arbor,arbour,bower,pergola',no
'(music) rapid sliding up or down the musical scale; \"the violinist was indulgent with his swoops and slides\" swoop,slide',yes
'pot for brewing tea; usually has a spout and handle teapot',no
'a thin flake of dead epidermis shed from the surface of the skin scale,scurf,exfoliation',yes
'a triangular wooden float attached to the end of a log line chip',yes
'a set containing all and only the members of two or more given sets; \"let C be the union of the sets A and B\" union,sum,join',yes
'the act of changing one thing or position for another; \"his switch on abortion cost him the election\" switch,switching,shift',yes
'a tool for tamping (e.g., for tamping tobacco into a pipe bowl or a charge into a drill hole etc.) tamp,tamper,tamping bar',no
'(music) a slur over two notes of the same pitch; indicates that the note is to be sustained for their combined time value tie',no
'any of various games played on a pool table having 6 pockets pool,pocket billiards',yes
'a board perforated with regularly spaced holes into which pegs can be fitted pegboard',no
'a set of data arranged in rows and columns; \"see table 1\" table,tabular array',yes
'a flat device with narrow pointed teeth on one edge; disentangles or arranges hair comb',no
'(nautical) the distance traveled by a sailing vessel on a single tack leg',yes
'knife especially designed for slicing particular foods, as cheese slicer',no
'a molding covering the joint formed by a wall and the floor baseboard,mopboard,skirting board',no
'one of two points of intersection of the Earth\'s axis and the celestial sphere pole,celestial pole',yes
'any heavy material used to stabilize a ship or airship ballast',yes
'informal terms for the nose beak,honker,hooter,nozzle,snoot,snout,schnozzle,schnoz',yes
'a roundheaded bolt for timber; threaded along part of the shank; inserted into holes already drilled carriage bolt',no
'a kind of pick that is used for digging; has a flat blade set at right angles to the handle mattock',no
'a written record of events on a voyage (of a ship or plane) log',yes
'(prosody) the accent in a metrical foot of verse meter,metre,measure,beat,cadence',yes
'one of the two male reproductive glands that produce spermatozoa and secrete androgens; \"she kicked him in the balls and got away\" testis,testicle,orchis,ball,ballock,bollock,nut,egg',yes
'seal consisting of a flat disk placed to prevent leakage washer',yes
'a flatbottom boat for carrying heavy loads (especially on canals) barge,flatboat,hoy,lighter',yes
'the post at the top or bottom of a flight of stairs; it supports the handrail newel post,newel',no
'(physics) a device that attracts iron and produces a magnetic field magnet',no
'a preparation (usually made of sweetened chicle) for chewing chewing gum,gum',yes
'a protester posted by a labor organization outside a place of work picket',yes
'a hand tool with a heatable tip; used to melt and apply solder soldering iron',no
'large but transportable armament artillery,heavy weapon,gun,ordnance',yes
'a person who crawls or creeps along the ground crawler,creeper',yes
'a sheet or band of fibrous connective tissue separating or binding together muscles and organs etc fascia,facia',yes
'the United States (especially the northern states during the American Civil War); \"he has visited every state in the Union\"; \"Lee hoped to detach Maryland from the Union\"; \"the North\'s superior resources turned the scale\" Union,North',yes
'a coral reef off the southern coast of Florida key,cay,Florida key',yes
'a short U-shaped wire nail for securing cables staple',no
'a soft thin absorbent paper for use in toilets toilet tissue,toilet paper,bathroom tissue',no
'a textile machine used as a home appliance for sewing sewing machine',no
'a rounded part of a cylindrical instrument (usually at one end); \"the bulb of a syringe\" bulb',yes
'a dental appliance that artificially replaces missing teeth denture,dental plate,plate',yes
'a company of people assembled at a table for a meal or game; \"he entertained the whole table with his witty remarks\" table',yes
'a container made of glass for holding liquids while drinking glass,drinking glass',yes
'a purifier that removes impurities from a gas scrubber',yes
'a mechanical damper; absorbs energy of sudden impulses; \"the old car needed a new set of shocks\" shock absorber,shock,cushion',yes
'T-shaped cleaning implement with a rubber edge across the top; drawn across a surface to remove water (as in washing windows) squeegee',no
'an upright hydrant for drawing water to use in fighting a fire fireplug,fire hydrant,plug',yes
'the ossicle attached to the eardrum malleus,hammer',yes
'a natural fiber (raw cotton, wool, hemp, flax) that can be twisted to form yarn; \"staple fibers vary widely in length\" staple,staple fiber,staple fibre',yes
'a medical dressing consisting of a soft heated mass of meal or clay that is spread on a cloth and applied to the skin to treat inflamed areas or improve circulation etc. poultice,cataplasm,plaster',no
'a city in northeastern Texas (suburb of Dallas) Garland',yes
'home appliance consisting of a flat metal base that is heated and used to smooth cloth iron,smoothing iron',no
'a storage compartment for clothes and valuables; usually it has a lock cabinet,locker,storage locker',no
'the act of pounding (delivering repeated heavy blows); \"the sudden hammer of fists caught him off guard\"; \"the pounding of feet on the hallway\" hammer,pound,hammering,pounding',yes
'the thick white fluid containing spermatozoa that is ejaculated by the male genital tract semen,seed,seminal fluid,ejaculate,cum,come',yes
'a public fountain to provide a jet of drinking water drinking fountain,water fountain,bubbler',no
'a telegram sent abroad cable,cablegram,overseas telegram',yes
'an electronic receiver that detects and demodulates and amplifies transmitted signals radio receiver,receiving set,radio set,radio,tuner,wireless',no
'a sharp strain on muscles or ligaments; \"the wrench to his knee occurred as he fell\"; \"he was sidelined with a hamstring pull\" wrench,twist,pull',yes
'white goods in which food can be stored at low temperatures refrigerator,icebox',no
'the officer who presides at the meetings of an organization; \"address your remarks to the chairperson\" president,chairman,chairwoman,chair,chairperson',yes
'a series of hills or mountains; \"the valley was between two ranges of hills\"; \"the plains lay just beyond the mountain range\" range,mountain range,range of mountains,chain,mountain chain,chain of mountains',yes
'the act of apprehending (especially apprehending a criminal); \"the policeman on the beat got credit for the collar\" apprehension,arrest,catch,collar,pinch,taking into custody',yes
'a foundation (usually on soft ground) consisting of an extended layer of reinforced concrete raft foundation,raft,mat',yes
'a protective covering that keeps things out or hinders sight; \"they had just moved in and had not put up blinds yet\" blind,screen',no
'a place of business for retailing goods mercantile establishment,retail store,sales outlet,outlet',yes
'the time interval between the deposit of a check in a bank and its payment float',yes
'a metal pot for stewing or boiling; usually has a lid kettle,boiler',yes
'a small lake; \"the pond was too small for sailing\" pond,pool',yes
'a cutting tool that is fitted into a diestock and used for cutting male (external) screw threads on screws or bolts or pipes or rods die',no
'an electrically powered mixer with whirling blades that mix or chop or liquefy foods blender,liquidizer,liquidiser',no
'garage for one or two cars consisting of a flat roof supported on poles carport,car port',yes
'a short peg put into the ground to hold a golf ball off the ground tee,golf tee',yes
'an agent that makes things white or colorless bleaching agent,bleach,blanching agent,whitener',yes
'a mat placed outside an exterior door for wiping the shoes before entering doormat,welcome mat',no
'a utensil for cooking cooker',no
'a shelf on which to keep books bookshelf',no
'usually inexpensive bar snack bar,snack counter,buffet',yes
'a cord to conduct power to an electrical appliance power cord',no
'a laminate made of thin layers of wood plywood,plyboard',no
'a piece of furniture having a smooth flat top that is usually supported by one or more vertical legs; \"it was a sturdy table\" table',no
'a pointed tool for marking surfaces or for punching small holes awl',no
'the state of being joined or united or linked; \"there is strength in union\" union,unification',yes
'a job in an organization; \"he occupied a post in the treasury\" position,post,berth,office,spot,billet,place,situation',yes
'a vehicle performing sentinel duty picket',yes
'a flexible strip (wood or rubber) used in drawing curved lines spline',no
'the entire one-piece shell of a snail and certain other molluscs valve',yes
'Italian bowling played on a long narrow dirt court bocce,bocci,boccie',yes
'an earphone that is inserted into the ear canal earplug',no
'the act of hitting vigorously; \"he gave the table a whack\" knock,belt,rap,whack,whang',yes
'an optical instrument that projects an enlarged image onto a screen projector',no
'a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking hammer',no
'an interior door that opens by folding back in sections (rather than by swinging on hinges) folding door,accordion door',no
'a large towel; to dry yourself after a bath bath towel',no
'a wardrobe assistant for an actor dresser,actor\'s assistant',yes
'navigational instrument for finding directions compass',no
'emptying something accomplished by allowing liquid to run out of it drain,drainage',yes
'the underside of a part of a building (such as an arch or overhang or beam etc.) soffit',yes
'(basketball) a space (including the foul line) in front of the basket at each end of a basketball court; usually painted a different color from the rest of the court; \"he hit a jump shot from the top of the key\"; \"he dominates play in the paint\" key,paint',yes
'a kitchen appliance (usually electric) for toasting bread toaster',no
'attitude of an aircraft in flight when allowed to take its own orientation trim',yes
'informal terms for the mouth trap,cakehole,hole,maw,yap,gob',yes
'a device (usually metal and ornamental) attached by a hinge to a door knocker,doorknocker,rapper',yes
'a writing implement with a point from which ink flows pen',no
'small and light boat; pointed at both ends; propelled with a paddle canoe',no
'plaything consisting of a small model of a house that children can play inside of playhouse,wendy house',no
'a regulator that activates or deactivates a mechanism at set times timer',no
'a small secluded room cubby,cubbyhole,snuggery,snug',yes
'a procession (of wagons or mules or camels) traveling together in single file; \"we were part of a caravan of almost a thousand camels\"; \"they joined the wagon train for safety\" caravan,train,wagon train',yes
'a chalked string used in the building trades to make a straight line on a vertical surface chalk line,snap line,snapline',yes
'a long tube made of metal or plastic that is used to carry water or oil or gas etc. pipe,pipage,piping',no
'a barrier that serves to enclose an area fence,fencing',no
'a cable that provides an electrical connection for telephone or television or power stations electrical cable',no
'a light touch or stroke tap,pat,dab',yes
'cylinder forming a long narrow part of something shank,stem',yes
'the part of a lock that is engaged or withdrawn with a key bolt,deadbolt',no
